"Source:","/home/barnacle/Projects/Cisc-8/Old/cisc-8 new/cisc-8.sch"
"Date:","Fri 28 Jun 2019 20:37:52 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","311"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U505","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT574"
"","","U506","74HC163","cisc-8-rescue:74LS163-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"","","U507","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT574"
"","","U508","74HC163","cisc-8-rescue:74LS163-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"","","U601","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U602","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U603","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U604","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U605","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT574"
"","","U606","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT574"
